COD. ESTACAO,NOME DO RIO,NIVEL,VAZAO,CHUVA,DATA/HORA
66945000,Rio Aquidauana,254,65.48,0,Thu Apr 07 2022 01:00:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,254,65.48,0,Thu Apr 07 2022 00:45:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,254,65.48,0,Thu Apr 07 2022 00:30:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,254,65.48,0,Thu Apr 07 2022 00:15:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Thu Apr 07 2022 00:00:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 23:45:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 23:30:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 23:15:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 23:00:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 22:45:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 22:30:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 22:15:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 22:00:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 21:45:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 21:30:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 21:15:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 21:00:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 20:45:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 20:30:00 GMT-0400 (GMT-04:00)
66945000,Rio Aquidauana,253,64.87,0,Wed Apr 06 2022 20:15:00 GMT-0400 (GMT-04:00)
